x,y
-1.700000000000000000e+01,3.460000000000000000e+02
1.800000000000000000e+01,-2.830000000000000000e+02
0.000000000000000000e+00,3.580000000000000000e+02
-1.300000000000000000e+01,1.200000000000000000e+01
-9.000000000000000000e+00,-2.990000000000000000e+02
-4.000000000000000000e+00,-2.890000000000000000e+02
-1.200000000000000000e+01,2.600000000000000000e+02
1.700000000000000000e+01,-4.500000000000000000e+02
2.000000000000000000e+01,7.700000000000000000e+01
-1.100000000000000000e+01,-3.030000000000000000e+02
0.000000000000000000e+00,4.650000000000000000e+02
3.000000000000000000e+00,-3.760000000000000000e+02
8.000000000000000000e+00,4.830000000000000000e+02
3.000000000000000000e+00,1.190000000000000000e+02
1.200000000000000000e+01,4.100000000000000000e+01
1.500000000000000000e+01,-2.220000000000000000e+02
-1.000000000000000000e+01,-3.770000000000000000e+02
1.500000000000000000e+01,2.030000000000000000e+02
1.500000000000000000e+01,-2.240000000000000000e+02
-6.000000000000000000e+00,-2.400000000000000000e+02
-1.300000000000000000e+01,-1.470000000000000000e+02
1.100000000000000000e+01,-3.400000000000000000e+01
-5.000000000000000000e+00,-2.250000000000000000e+02
1.800000000000000000e+01,-3.000000000000000000e+01
7.000000000000000000e+00,8.000000000000000000e+01
-1.700000000000000000e+01,3.330000000000000000e+02
-8.000000000000000000e+00,-3.050000000000000000e+02
-6.000000000000000000e+00,6.400000000000000000e+01
-1.900000000000000000e+01,7.000000000000000000e+01
-1.400000000000000000e+01,2.320000000000000000e+02
-2.000000000000000000e+01,1.280000000000000000e+02
-4.000000000000000000e+00,-4.030000000000000000e+02
1.000000000000000000e+01,-3.200000000000000000e+01
7.000000000000000000e+00,8.800000000000000000e+01
-1.800000000000000000e+01,6.900000000000000000e+01
0.000000000000000000e+00,-3.400000000000000000e+01
1.100000000000000000e+01,4.130000000000000000e+02
0.000000000000000000e+00,-2.560000000000000000e+02
-6.000000000000000000e+00,4.210000000000000000e+02
1.300000000000000000e+01,3.300000000000000000e+02
-8.000000000000000000e+00,-4.160000000000000000e+02
-2.000000000000000000e+00,3.710000000000000000e+02
-1.000000000000000000e+01,2.870000000000000000e+02
9.000000000000000000e+00,4.020000000000000000e+02
2.000000000000000000e+01,1.920000000000000000e+02
-1.700000000000000000e+01,3.500000000000000000e+01
1.200000000000000000e+01,2.400000000000000000e+01
-1.200000000000000000e+01,4.340000000000000000e+02
1.000000000000000000e+01,1.930000000000000000e+02
-9.000000000000000000e+00,-6.200000000000000000e+01
-1.300000000000000000e+01,4.910000000000000000e+02
1.500000000000000000e+01,4.000000000000000000e+02
1.000000000000000000e+00,-2.400000000000000000e+01
1.400000000000000000e+01,2.110000000000000000e+02
1.100000000000000000e+01,-2.700000000000000000e+02
-2.000000000000000000e+01,-3.880000000000000000e+02
6.000000000000000000e+00,1.300000000000000000e+01
1.400000000000000000e+01,1.670000000000000000e+02
1.200000000000000000e+01,-3.700000000000000000e+01
9.000000000000000000e+00,2.810000000000000000e+02
-8.000000000000000000e+00,-3.700000000000000000e+02
-1.100000000000000000e+01,-4.960000000000000000e+02
-1.400000000000000000e+01,2.210000000000000000e+02
-1.300000000000000000e+01,-3.960000000000000000e+02
-8.000000000000000000e+00,1.760000000000000000e+02
-1.700000000000000000e+01,-1.890000000000000000e+02
-9.000000000000000000e+00,4.400000000000000000e+01
1.800000000000000000e+01,-3.690000000000000000e+02
-7.000000000000000000e+00,-3.100000000000000000e+01
9.000000000000000000e+00,-4.380000000000000000e+02
-2.000000000000000000e+00,2.100000000000000000e+02
3.000000000000000000e+00,-1.200000000000000000e+01
1.900000000000000000e+01,6.500000000000000000e+01
-1.000000000000000000e+00,2.250000000000000000e+02
2.000000000000000000e+01,-4.480000000000000000e+02
1.600000000000000000e+01,-2.450000000000000000e+02
1.300000000000000000e+01,-7.700000000000000000e+01
1.600000000000000000e+01,1.540000000000000000e+02
-1.000000000000000000e+00,4.530000000000000000e+02
-1.800000000000000000e+01,-1.150000000000000000e+02
1.300000000000000000e+01,-2.220000000000000000e+02
9.000000000000000000e+00,7.400000000000000000e+01
6.000000000000000000e+00,3.490000000000000000e+02
-4.000000000000000000e+00,2.480000000000000000e+02
1.000000000000000000e+00,1.070000000000000000e+02
-1.200000000000000000e+01,-3.980000000000000000e+02
-7.000000000000000000e+00,-4.610000000000000000e+02
-9.000000000000000000e+00,7.500000000000000000e+01
